day	hour	min	second	price	volume
4	9	38	21	40.16	300
4	9	38	22	40.14	100
4	9	38	24	40.12	100
4	9	38	24	40.12	100
4	9	38	24	40.12	300
4	9	38	25	40.13	100
4	9	38	25	40.12	100
4	9	38	25	40.12	100
4	9	38	26	40.1	100
4	9	38	26	40.105	100
4	9	38	26	40.11	100
4	9	38	28	40.06	100
4	9	38	28	40.06	100
4	9	38	33	40.12	160
4	9	38	33	40.12	100
4	9	38	43	40.13	100
4	9	38	43	40.13	100
4	9	39	7	40.12	100
4	9	39	12	40.1	100
4	9	39	15	40.13	900
4	9	39	15	40.1	100
4	9	39	15	40.1	100
4	9	39	15	40.1	100
4	9	39	16	40.1	103
4	9	39	16	40.1	106
4	9	39	16	40.1	100
4	9	39	16	40.1	100
4	9	39	16	40.1	102
4	9	39	16	40.1	100
4	9	39	16	40.1	200
4	9	39	16	40.1	100
4	9	39	16	40.13	100
4	9	39	16	40.1	100
4	9	39	16	40.1	100
4	9	39	16	40.1	121
4	9	39	16	40.1	100
4	9	39	16	40.1	100
4	9	39	16	40.09	100
4	9	39	19	40.09	300
4	9	39	24	40.09	100
4	9	39	36	40.09	100
4	9	39	43	40.13	100
4	9	39	44	40.12	200
4	9	39	46	40.09	100
4	9	39	46	40.09	100
4	9	39	46	40.09	300
4	9	39	47	40.13	100
4	9	39	48	40.1	100
4	9	39	50	40.1	100
4	9	39	55	40.09	100
4	9	39	57	40.13	500
4	9	39	57	40.14	100
4	9	39	57	40.14	100
4	9	39	57	40.14	300
4	9	39	57	40.14	100
4	9	39	57	40.15	100
4	9	39	57	40.15	100
4	9	39	57	40.15	100
4	9	39	57	40.15	100
4	9	39	57	40.15	100
4	9	39	57	40.15	100
4	9	39	57	40.14	600
4	9	39	58	40.16	300
4	9	39	58	40.17	600
4	9	39	58	40.15	300
4	9	39	58	40.13	100
4	9	39	58	40.21	100
4	9	39	58	40.18	100
4	9	39	58	40.24	100
4	9	39	58	40.2	300
4	9	39	58	40.2	100
4	9	39	58	40.2	100
4	9	39	59	40.25	100
4	9	39	59	40.27	100
4	9	39	59	40.27	100
4	9	39	59	40.31	200
4	9	40	0	40.31	100
4	9	40	0	40.31	100
4	9	40	0	40.31	100
